INDEX;MEASURED;PREDICTED
4854;26.1859;26.0528
4855;2.6378;1.8378
4856;6.7724;7.3228
4857;37.6282;36.8417
4858;20.3974;21.6497
4859;13.7596;14.8262
4860;17.3558;17.1199
4861;18.4167;18.0804
4862;17.4808;17.2402
4863;0.8654;0.8648
4864;16.9006;16.8597
4865;31.2179;30.6421
4866;10.4551;9.7455
4867;3.5192;2.3436
4868;1.3526;1.6339
4869;1.6667;1.742
4870;25.609;25.7926
4871;20.3558;21.2279
4872;15.8846;15.1873
4873;37.2436;38.0021
4874;10.2436;8.2925
4875;6.6314;6.4415
4876;10.2468;9.4346
4877;0.0929;0.4272
4878;5.5321;7.1452
4879;22.5962;23.1851
4880;19.0929;19.0872
4881;24.5192;23.6515
4882;8.9647;8.6251
4883;1.8173;2.2205
4884;32.6923;30.8951
4885;39.5833;43.3307
4886;8.1763;8.2355
4887;43.0769;43.3865
4888;7.8077;6.3186
4889;22.3718;22.2722
4890;21.6699;22.7322
4891;10.3237;10.1084
4892;14.7885;11.8387
4893;20.4231;20.8504
4894;1.8141;1.707
4895;30.7051;29.9387
4896;1.7244;1.6196
4897;48.8141;47.8106
4898;1.9712;2.0803
4899;0.1474;0.3219
4900;17.4551;18.1006
4901;14.5641;13.5292
4902;1.1058;1.4483
4903;21.125;21.1876
4904;21.6538;22.1005
4905;8.8814;9.5385
4906;18.5577;18.2392
4907;18.0962;17.8493
4908;45.3846;45.6579
4909;17.8526;17.8578
4910;24.8397;24.5868
4911;27.7564;28.6015
4912;32.9167;33.1961
4913;12.0577;11.3061
4914;22.7885;22.0154
4915;6.8205;6.7083
4916;2.6571;2.7332
4917;17.8878;19.1449
4918;18.0288;18.6251
4919;9.0256;8.9473
4920;1.4071;1.7216
4921;10.2372;10.627
4922;32.7885;31.9938
4923;20.5641;20.1187
4924;17.8942;18.3641
4925;17.4263;18.2063
4926;8.5545;8.112
4927;0.3622;0.6665
4928;1.3141;1.3934
4929;32.5321;32.2279
4930;10.0737;12.8711
4931;1.5929;0.71
4932;42.1795;40.3948
4933;5.0032;5.8486
4934;10.7276;11.8994
4935;3.2276;3.9919
4936;17.5321;20.1099
4937;0.734;0.489
4938;2.8301;3.1921
4939;5.9006;5.4735
4940;0.0513;0.421
4941;20.6731;20.0592
4942;34.4551;36.1792
4943;2.2147;1.8825
4944;6.2917;6.5138
4945;21.891;22.6229
4946;6.2179;5.2026
4947;11.2564;11.7151
4948;27.1474;26.7433
4949;19.2083;18.3759
4950;15.4295;16.1319
4951;2.5962;2.9777
4952;21.9455;21.8556
4953;16.6282;18.7529
4954;20.8173;21.3715
4955;20.5865;19.1978
4956;26.6026;25.923
4957;12.3237;11.2461
4958;47.4038;46.2776
4959;27.2115;29.8646
4960;13.0192;13.6177
4961;6.5481;8.2272
4962;1.8846;1.8416
4963;30.7372;32.364
4964;25.2244;25.4525
4965;6.3077;6.0868
4966;25;22.072
4967;11.2821;11.5011
4968;40.5449;38.9909
4969;1.0513;1.5849
4970;11.5064;11.6246
4971;30.7372;29.2818
4972;2.4006;3.0107
4973;0.8814;0.8844
4974;27.1154;27.6115
4975;10.2756;11.1604
4976;10.125;9.9173
4977;9.6506;9.7168
4978;16.9071;17.2854
4979;5.3494;5.3383
4980;7.234;6.9707
4981;9.6026;9.8117
4982;6.484;6.7986
4983;24.2628;24.8745
4984;2.5096;2.0204
4985;11.5673;11.3073
4986;4.1346;4.4472
4987;10.8269;10.5389
4988;7.391;6.9709
4989;4.2212;4.4716
4990;20.0224;19.3338
4991;9.1122;8.1829
4992;2.6218;2.8003
4993;18.875;19.1037
4994;27.2436;28.5664
4995;1.4295;1.6182
4996;9.3333;9.3026
4997;23.3974;24.0341
4998;3.5994;3.078
4999;19.2756;17.8048
5000;30.9936;32.9309
