ORDEM;MEDIDO;ESTIMADO
2836;186.4679;191.9617456
2837;42.5688;47.15026583
2838;268.0275;275.1722337
2839;5.1835;10.18899975
2840;322.4771;327.1869819
2841;120;117.1585104
2842;28.2569;28.60060454
2843;190.21634;184.4089448
2844;87.844;81.21236323
2845;327.9816;336.137508
2846;73.3772;59.13854474
2847;94.4495;92.7117753
2848;96.9725;88.61040472
2849;16.6055;16.88668367
2850;239.7706;232.4469007
2851;119.2661;115.5599566
2852;109.2202;116.6630053
2853;46.19008;39.81586129
2854;146.1468;151.3088732
2855;12.7982;13.35783486
2856;276.20422;285.2405775
2857;261.5138;264.6177731
2858;82.7523;79.31928956
2859;232.4312;229.0771608
2860;415.1376;417.3360216
2861;85.6422;81.78828012
2862;307.2477;331.4807545
2863;31.69564;31.29563545
2864;70.8257;69.39520002
2865;138.8532;137.3292956
2866;199.3119;197.538037
2867;95.367;97.4257778
2868;260.7339;256.6264818
2869;110.3083;107.1379765
2870;495.8716;497.6683223
2871;274.3119;266.1196623
2872;370.46102;358.7831617
2873;21.9725;24.04181588
2874;90.6881;96.61375665
2875;85;83.64975793
2876;117.9358;115.6643577
2877;63.02912;63.2289486
2878;256.055;247.8527883
2879;177.89282;172.5735431
2880;199.71782;203.0339712
2881;301.4679;272.0348343
2882;137.62934;158.4230742
2883;44.7248;42.67538797
2884;188.8073;191.9638502
2885;179.9541;176.3100864
2886;187.156;204.0078897
2887;383.42967;387.1291469
2888;91.0092;135.3409722
2889;206.789;204.5767605
2890;60.0917;60.8163624
2891;264.64348;259.150082
2892;77.6147;83.68569027
2893;85.7339;78.5623834
2894;214.5413;204.114449
2895;332.5688;328.8456671
2896;497.7064;501.129144
2897;22.447;18.13969939
2898;454.1284;449.1308515
2899;68.6239;68.51379894
2900;341.2844;321.4037043
2901;221.8807;226.3519958
2902;65.8257;63.2756819
2903;275.1376;272.7850215
2904;197.9816;195.6469749
2905;136.2844;134.9000159
2906;44.3119;44.23144811
2907;291.3761;286.18283
2908;60.367;62.17089818
2909;41.29815;45.0348692
2910;131.9725;129.1729134
2911;321.5596;320.7210782
2912;166.8807;172.6480894
2913;371.5596;371.8601592
2914;149.8165;148.983396
2915;130.29165;130.6501442
2916;63.4404;63.23122418
2917;510.0917;509.4449603
2918;56.84014;55.51988776
2919;350;356.3308501
2920;42.99148;42.30202559
2921;40.1734;35.93858054
2922;369.2661;369.269788
2923;329.3578;319.9677276
2924;237.72348;233.4874939
2925;255.7339;248.9983965
2926;41.3303;46.8165735
2927;165.367;163.9501493
2928;226.9266;226.7089603
2929;82.7064;83.09606751
2930;28.578;26.64292281
2931;331.6514;341.2649055
2932;358.57421;337.3237203
2933;128.1193;132.9309181
2934;145.8716;149.3013601
2935;97.4312;96.39458655
2936;280.1376;276.6592909
2937;135.9633;143.7753729
2938;297.93042;299.9672207
2939;80.7339;79.70718395
2940;178.0734;184.3576359
2941;201.78744;210.1961091
2942;25.9633;29.12021396
2943;66.6514;68.61404737
2944;22.6397;18.54782748
2945;48.3945;47.07095933
2946;1.9266;6.464771411
2947;76.1468;73.66975889
2948;283.2569;292.6093383
2949;406.422;400.6099497
2950;5.5505;4.844189464
2951;32.2018;38.71493539
2952;16.8593;17.72595763
2953;350;351.8264944
2954;288.1193;296.7676835
2955;4.3578;3.057243795
2956;133.42969;137.1110893
2957;254.5872;252.8888982
2958;172.2936;174.7416803
2959;96.5138;96.08358213
2960;50.9634;53.70284624
2961;56.5138;60.20066368
